Date,Open,High,Low,Close,Adj Close,Volume
2019-09-24,73.320000,73.320000,73.320000,73.320000,71.211136,0
2019-09-25,73.809998,73.809998,73.809998,73.809998,71.687035,0
2019-09-26,73.570000,73.570000,73.570000,73.570000,71.453941,0
2019-09-27,73.139999,73.139999,73.139999,73.139999,71.036301,0
2019-09-30,73.500000,73.500000,73.500000,73.500000,71.385948,0
2019-10-01,72.550003,72.550003,72.550003,72.550003,70.463280,0
2019-10-02,71.320000,71.320000,71.320000,71.320000,69.268654,0
2019-10-03,71.910004,71.910004,71.910004,71.910004,69.841690,0
2019-10-04,72.879997,72.879997,72.879997,72.879997,70.783783,0
2019-10-07,72.589996,72.589996,72.589996,72.589996,70.502121,0
2019-10-08,71.430000,71.430000,71.430000,71.430000,69.375488,0
2019-10-09,72.080002,72.080002,72.080002,72.080002,70.006798,0
2019-10-10,72.500000,72.500000,72.500000,72.500000,70.414703,0
2019-10-11,73.360001,73.360001,73.360001,73.360001,71.249985,0
2019-10-14,73.239998,73.239998,73.239998,73.239998,71.133438,0
2019-10-15,73.959999,73.959999,73.959999,73.959999,71.832718,0
2019-10-16,73.800003,73.800003,73.800003,73.800003,71.677322,0
2019-10-17,74.070000,74.070000,74.070000,74.070000,71.939552,0
2019-10-18,73.769997,73.769997,73.769997,73.769997,71.648178,0
2019-10-21,74.279999,74.279999,74.279999,74.279999,72.143509,0
2019-10-22,74.019997,74.019997,74.019997,74.019997,71.890999,0
2019-10-23,74.209999,74.209999,74.209999,74.209999,72.075531,0
2019-10-24,74.389999,74.389999,74.389999,74.389999,72.250359,0
2019-10-25,74.709999,74.709999,74.709999,74.709999,72.561142,0
2019-10-28,75.139999,75.139999,75.139999,75.139999,72.978790,0
2019-10-29,75.139999,75.139999,75.139999,75.139999,72.978790,0
2019-10-30,75.320000,75.320000,75.320000,75.320000,73.153603,0
2019-10-31,75.050003,75.050003,75.050003,75.050003,72.891373,0
2019-11-01,75.839996,75.839996,75.839996,75.839996,73.658646,0
2019-11-04,76.110001,76.110001,76.110001,76.110001,73.920876,0
